,09_21_2021
Coesfeld,1206
Ascheberg,495
Nottuln,530
Lüdinghausen,812
Nordkirchen,246
Havixbeck,284
Billerbeck,252
Senden,499
Olfen,450
Rosendahl,442
Dülmen,1199
Kreis Coesfeld,6415
