AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,196.7,8.0
06531002,Biebertal,10048,109.5,11.0
06531003,Buseck,12879,170.8,22.0
06531004,Fernwald,6911,101.3,7.0
06531005,Gießen,89802,141.4,127.0
06531006,Grünberg,13612,279.2,38.0
06531007,Heuchelheim,7819,89.5,7.0
06531008,Hungen,12596,190.5,24.0
06531009,Langgöns,11690,205.3,24.0
06531010,Laubach,9598,177.1,17.0
06531011,Lich,13795,232.0,32.0
06531012,Linden,13091,145.1,19.0
06531013,Lollar,10309,135.8,14.0
06531014,Pohlheim,18138,281.2,51.0
06531015,Rabenau,5036,59.6,3.0
06531016,Reiskirchen,10248,136.6,14.0
06531017,Staufenberg,8471,129.9,11.0
06531018,Wettenberg,12578,246.5,31.0
