AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,0.0,0.0
06531003,Buseck,12879,23.3,3.0
06531004,Fernwald,6911,14.5,1.0
06531005,Gießen,89802,51.2,46.0
06531006,Grünberg,13612,29.4,4.0
06531007,Heuchelheim,7819,166.3,13.0
06531008,Hungen,12596,15.9,2.0
06531009,Langgöns,11690,42.8,5.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,21.7,3.0
06531012,Linden,13091,30.6,4.0
06531013,Lollar,10309,67.9,7.0
06531014,Pohlheim,18138,27.6,5.0
06531015,Rabenau,5036,0.0,0.0
06531016,Reiskirchen,10248,68.3,7.0
06531017,Staufenberg,8471,35.4,3.0
06531018,Wettenberg,12578,0.0,0.0
