AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,29.9,3.0
06531003,Buseck,12879,54.4,7.0
06531004,Fernwald,6911,0.0,0.0
06531005,Gießen,89802,102.4,92.0
06531006,Grünberg,13612,80.8,11.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,55.6,7.0
06531009,Langgöns,11690,42.8,5.0
06531010,Laubach,9598,62.5,6.0
06531011,Lich,13795,14.5,2.0
06531012,Linden,13091,53.5,7.0
06531013,Lollar,10309,48.5,5.0
06531014,Pohlheim,18138,22.1,4.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,29.3,3.0
06531017,Staufenberg,8471,23.6,2.0
06531018,Wettenberg,12578,47.7,6.0
