AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,122.9,5.0
06531002,Biebertal,10048,59.7,6.0
06531003,Buseck,12879,147.5,19.0
06531004,Fernwald,6911,159.2,11.0
06531005,Gießen,89802,103.6,93.0
06531006,Grünberg,13612,102.9,14.0
06531007,Heuchelheim,7819,89.5,7.0
06531008,Hungen,12596,111.1,14.0
06531009,Langgöns,11690,145.4,17.0
06531010,Laubach,9598,177.1,17.0
06531011,Lich,13795,195.7,27.0
06531012,Linden,13091,84.0,11.0
06531013,Lollar,10309,106.7,11.0
06531014,Pohlheim,18138,341.8,62.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,78.1,8.0
06531017,Staufenberg,8471,224.3,19.0
06531018,Wettenberg,12578,79.5,10.0
