AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,19.9,2.0
06531003,Buseck,12879,69.9,9.0
06531004,Fernwald,6911,43.4,3.0
06531005,Gießen,89802,155.9,140.0
06531006,Grünberg,13612,36.7,5.0
06531007,Heuchelheim,7819,76.7,6.0
06531008,Hungen,12596,55.6,7.0
06531009,Langgöns,11690,42.8,5.0
06531010,Laubach,9598,72.9,7.0
06531011,Lich,13795,14.5,2.0
06531012,Linden,13091,45.8,6.0
06531013,Lollar,10309,29.1,3.0
06531014,Pohlheim,18138,71.7,13.0
06531015,Rabenau,5036,59.6,3.0
06531016,Reiskirchen,10248,136.6,14.0
06531017,Staufenberg,8471,11.8,1.0
06531018,Wettenberg,12578,95.4,12.0
