AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,39.8,4.0
06531003,Buseck,12879,7.8,1.0
06531004,Fernwald,6911,0.0,0.0
06531005,Gießen,89802,80.2,72.0
06531006,Grünberg,13612,117.5,16.0
06531007,Heuchelheim,7819,76.7,6.0
06531008,Hungen,12596,127.0,16.0
06531009,Langgöns,11690,34.2,4.0
06531010,Laubach,9598,41.7,4.0
06531011,Lich,13795,14.5,2.0
06531012,Linden,13091,61.1,8.0
06531013,Lollar,10309,38.8,4.0
06531014,Pohlheim,18138,16.5,3.0
06531015,Rabenau,5036,0.0,0.0
06531016,Reiskirchen,10248,19.5,2.0
06531017,Staufenberg,8471,35.4,3.0
06531018,Wettenberg,12578,47.7,6.0
