AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,29.9,3.0
06531003,Buseck,12879,46.6,6.0
06531004,Fernwald,6911,115.8,8.0
06531005,Gießen,89802,137.0,123.0
06531006,Grünberg,13612,183.7,25.0
06531007,Heuchelheim,7819,115.1,9.0
06531008,Hungen,12596,95.3,12.0
06531009,Langgöns,11690,85.5,10.0
06531010,Laubach,9598,93.8,9.0
06531011,Lich,13795,174.0,24.0
06531012,Linden,13091,106.9,14.0
06531013,Lollar,10309,164.9,17.0
06531014,Pohlheim,18138,176.4,32.0
06531015,Rabenau,5036,59.6,3.0
06531016,Reiskirchen,10248,136.6,14.0
06531017,Staufenberg,8471,106.2,9.0
06531018,Wettenberg,12578,111.3,14.0
