AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,221.3,9.0
06531002,Biebertal,10048,348.3,35.0
06531003,Buseck,12879,403.8,52.0
06531004,Fernwald,6911,593.3,41.0
06531005,Gießen,89802,638.1,573.0
06531006,Grünberg,13612,249.8,34.0
06531007,Heuchelheim,7819,511.6,40.0
06531008,Hungen,12596,262.0,33.0
06531009,Langgöns,11690,444.8,52.0
06531010,Laubach,9598,218.8,21.0
06531011,Lich,13795,268.2,37.0
06531012,Linden,13091,473.6,62.0
06531013,Lollar,10309,436.5,45.0
06531014,Pohlheim,18138,474.1,86.0
06531015,Rabenau,5036,357.4,18.0
06531016,Reiskirchen,10248,214.7,22.0
06531017,Staufenberg,8471,330.5,28.0
06531018,Wettenberg,12578,413.4,52.0
