AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,98.4,4.0
06531002,Biebertal,10048,139.3,14.0
06531003,Buseck,12879,54.4,7.0
06531004,Fernwald,6911,318.3,22.0
06531005,Gießen,89802,157.0,141.0
06531006,Grünberg,13612,132.2,18.0
06531007,Heuchelheim,7819,166.3,13.0
06531008,Hungen,12596,111.1,14.0
06531009,Langgöns,11690,248.1,29.0
06531010,Laubach,9598,156.3,15.0
06531011,Lich,13795,224.7,31.0
06531012,Linden,13091,168.1,22.0
06531013,Lollar,10309,97.0,10.0
06531014,Pohlheim,18138,325.3,59.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,58.5,6.0
06531017,Staufenberg,8471,236.1,20.0
06531018,Wettenberg,12578,190.8,24.0
