AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0,0
06531002,Biebertal,10048,0,0
06531003,Buseck,12879,15.5,2
06531004,Fernwald,6911,0,0
06531005,Gießen,89802,63.5,57
06531006,Grünberg,13612,51.4,7
06531007,Heuchelheim,7819,191.8,15
06531008,Hungen,12596,15.9,2
06531009,Langgöns,11690,42.8,5
06531010,Laubach,9598,20.8,2
06531011,Lich,13795,87,12
06531012,Linden,13091,45.8,6
06531013,Lollar,10309,58.2,6
06531014,Pohlheim,18138,33.1,6
06531015,Rabenau,5036,0,0
06531016,Reiskirchen,10248,19.5,2
06531017,Staufenberg,8471,23.6,2
06531018,Wettenberg,12578,0,0
