AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,39.8,4.0
06531003,Buseck,12879,69.9,9.0
06531004,Fernwald,6911,28.9,2.0
06531005,Gießen,89802,122.5,110.0
06531006,Grünberg,13612,14.7,2.0
06531007,Heuchelheim,7819,38.4,3.0
06531008,Hungen,12596,39.7,5.0
06531009,Langgöns,11690,17.1,2.0
06531010,Laubach,9598,72.9,7.0
06531011,Lich,13795,21.7,3.0
06531012,Linden,13091,45.8,6.0
06531013,Lollar,10309,19.4,2.0
06531014,Pohlheim,18138,27.6,5.0
06531015,Rabenau,5036,59.6,3.0
06531016,Reiskirchen,10248,126.9,13.0
06531017,Staufenberg,8471,11.8,1.0
06531018,Wettenberg,12578,55.7,7.0
