AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,0.0,0.0
06531003,Buseck,12879,15.5,2.0
06531004,Fernwald,6911,14.5,1.0
06531005,Gießen,89802,53.5,48.0
06531006,Grünberg,13612,36.7,5.0
06531007,Heuchelheim,7819,191.8,15.0
06531008,Hungen,12596,15.9,2.0
06531009,Langgöns,11690,51.3,6.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,36.2,5.0
06531012,Linden,13091,45.8,6.0
06531013,Lollar,10309,58.2,6.0
06531014,Pohlheim,18138,33.1,6.0
06531015,Rabenau,5036,0.0,0.0
06531016,Reiskirchen,10248,48.8,5.0
06531017,Staufenberg,8471,23.6,2.0
06531018,Wettenberg,12578,0.0,0.0
