AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,73.8,3.0
06531002,Biebertal,10048,99.5,10.0
06531003,Buseck,12879,186.3,24.0
06531004,Fernwald,6911,115.8,8.0
06531005,Gießen,89802,144.8,130.0
06531006,Grünberg,13612,257.1,35.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,182.6,23.0
06531009,Langgöns,11690,162.5,19.0
06531010,Laubach,9598,145.9,14.0
06531011,Lich,13795,203.0,28.0
06531012,Linden,13091,152.8,20.0
06531013,Lollar,10309,135.8,14.0
06531014,Pohlheim,18138,215.0,39.0
06531015,Rabenau,5036,59.6,3.0
06531016,Reiskirchen,10248,165.9,17.0
06531017,Staufenberg,8471,118.0,10.0
06531018,Wettenberg,12578,198.8,25.0
