AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,49.2,2.0
06531002,Biebertal,10048,218.9,22.0
06531003,Buseck,12879,186.3,24.0
06531004,Fernwald,6911,101.3,7.0
06531005,Gießen,89802,189.3,170.0
06531006,Grünberg,13612,330.6,45.0
06531007,Heuchelheim,7819,204.6,16.0
06531008,Hungen,12596,190.5,24.0
06531009,Langgöns,11690,325.1,38.0
06531010,Laubach,9598,364.7,35.0
06531011,Lich,13795,181.2,25.0
06531012,Linden,13091,168.1,22.0
06531013,Lollar,10309,194.0,20.0
06531014,Pohlheim,18138,170.9,31.0
06531015,Rabenau,5036,79.4,4.0
06531016,Reiskirchen,10248,302.5,31.0
06531017,Staufenberg,8471,283.3,24.0
06531018,Wettenberg,12578,278.3,35.0
