AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,1499.9,61.0
06531002,Biebertal,10048,746.4,75.0
06531003,Buseck,12879,1257.9,162.0
06531004,Fernwald,6911,1461.4,101.0
06531005,Gießen,89802,1683.7,1512.0
06531006,Grünberg,13612,631.8,86.0
06531007,Heuchelheim,7819,1087.1,85.0
06531008,Hungen,12596,825.7,104.0
06531009,Langgöns,11690,547.5,64.0
06531010,Laubach,9598,854.3,82.0
06531011,Lich,13795,1123.6,155.0
06531012,Linden,13091,1046.5,137.0
06531013,Lollar,10309,1707.2,176.0
06531014,Pohlheim,18138,1427.9,259.0
06531015,Rabenau,5036,714.9,36.0
06531016,Reiskirchen,10248,985.6,101.0
06531017,Staufenberg,8471,1345.8,114.0
06531018,Wettenberg,12578,1017.6,128.0
