AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,73.8,3.0
06531002,Biebertal,10048,218.9,22.0
06531003,Buseck,12879,209.6,27.0
06531004,Fernwald,6911,303.9,21.0
06531005,Gießen,89802,147.0,132.0
06531006,Grünberg,13612,102.9,14.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,174.7,22.0
06531009,Langgöns,11690,145.4,17.0
06531010,Laubach,9598,208.4,20.0
06531011,Lich,13795,210.2,29.0
06531012,Linden,13091,129.9,17.0
06531013,Lollar,10309,145.5,15.0
06531014,Pohlheim,18138,347.3,63.0
06531015,Rabenau,5036,79.4,4.0
06531016,Reiskirchen,10248,126.9,13.0
06531017,Staufenberg,8471,188.9,16.0
06531018,Wettenberg,12578,87.5,11.0
