AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0,0
06531002,Biebertal,10048,0,0
06531003,Buseck,12879,23.3,3
06531004,Fernwald,6911,28.9,2
06531005,Gießen,89802,80.2,72
06531006,Grünberg,13612,51.4,7
06531007,Heuchelheim,7819,191.8,15
06531008,Hungen,12596,23.8,3
06531009,Langgöns,11690,51.3,6
06531010,Laubach,9598,20.8,2
06531011,Lich,13795,94.2,13
06531012,Linden,13091,53.5,7
06531013,Lollar,10309,58.2,6
06531014,Pohlheim,18138,44.1,8
06531015,Rabenau,5036,19.9,1
06531016,Reiskirchen,10248,9.8,1
06531017,Staufenberg,8471,11.8,1
06531018,Wettenberg,12578,0,0
