AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,24.6,1.0
06531002,Biebertal,10048,119.4,12.0
06531003,Buseck,12879,62.1,8.0
06531004,Fernwald,6911,43.4,3.0
06531005,Gießen,89802,81.3,73.0
06531006,Grünberg,13612,110.2,15.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,39.7,5.0
06531009,Langgöns,11690,51.3,6.0
06531010,Laubach,9598,52.1,5.0
06531011,Lich,13795,65.2,9.0
06531012,Linden,13091,152.8,20.0
06531013,Lollar,10309,58.2,6.0
06531014,Pohlheim,18138,325.3,59.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,97.6,10.0
06531017,Staufenberg,8471,59.0,5.0
06531018,Wettenberg,12578,63.6,8.0
