AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
6531001,Allendorf (Lumda),4067,0.0,0.0
6531002,Biebertal,10048,0.0,0.0
6531003,Buseck,12879,15.5,2.0
6531004,Fernwald,6911,28.9,2.0
6531005,Gießen,89802,80.2,72.0
6531006,Grünberg,13612,51.4,7.0
6531007,Heuchelheim,7819,191.8,15.0
6531008,Hungen,12596,23.8,3.0
6531009,Langgöns,11690,51.3,6.0
6531010,Laubach,9598,20.8,2.0
6531011,Lich,13795,87.0,12.0
6531012,Linden,13091,53.5,7.0
6531013,Lollar,10309,67.9,7.0
6531014,Pohlheim,18138,44.1,8.0
6531015,Rabenau,5036,19.9,1.0
6531016,Reiskirchen,10248,9.8,1.0
6531017,Staufenberg,8471,11.8,1.0
6531018,Wettenberg,12578,0.0,0.0
