AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,147.5,6.0
06531002,Biebertal,10048,129.4,13.0
06531003,Buseck,12879,93.2,12.0
06531004,Fernwald,6911,274.9,19.0
06531005,Gießen,89802,154.8,139.0
06531006,Grünberg,13612,124.9,17.0
06531007,Heuchelheim,7819,102.3,8.0
06531008,Hungen,12596,127.0,16.0
06531009,Langgöns,11690,145.4,17.0
06531010,Laubach,9598,114.6,11.0
06531011,Lich,13795,181.2,25.0
06531012,Linden,13091,114.6,15.0
06531013,Lollar,10309,116.4,12.0
06531014,Pohlheim,18138,264.6,48.0
06531015,Rabenau,5036,99.3,5.0
06531016,Reiskirchen,10248,78.1,8.0
06531017,Staufenberg,8471,188.9,16.0
06531018,Wettenberg,12578,167.0,21.0
