AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0,0
06531002,Biebertal,10048,0,0
06531003,Buseck,12879,15.5,2
06531004,Fernwald,6911,28.9,2
06531005,Gießen,89802,90.2,81
06531006,Grünberg,13612,36.7,5
06531007,Heuchelheim,7819,25.6,2
06531008,Hungen,12596,23.8,3
06531009,Langgöns,11690,51.3,6
06531010,Laubach,9598,20.8,2
06531011,Lich,13795,101.5,14
06531012,Linden,13091,61.1,8
06531013,Lollar,10309,97,10
06531014,Pohlheim,18138,66.2,12
06531015,Rabenau,5036,19.9,1
06531016,Reiskirchen,10248,0,0
06531017,Staufenberg,8471,23.6,2
06531018,Wettenberg,12578,8,1
