AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,1254.0,51.0
06531002,Biebertal,10048,636.9,64.0
06531003,Buseck,12879,986.1,127.0
06531004,Fernwald,6911,1186.5,82.0
06531005,Gießen,89802,1678.1,1507.0
06531006,Grünberg,13612,609.8,83.0
06531007,Heuchelheim,7819,895.3,70.0
06531008,Hungen,12596,357.3,45.0
06531009,Langgöns,11690,444.8,52.0
06531010,Laubach,9598,489.7,47.0
06531011,Lich,13795,645.2,89.0
06531012,Linden,13091,1000.7,131.0
06531013,Lollar,10309,1542.3,159.0
06531014,Pohlheim,18138,942.8,171.0
06531015,Rabenau,5036,814.1,41.0
06531016,Reiskirchen,10248,761.1,78.0
06531017,Staufenberg,8471,1334.0,113.0
06531018,Wettenberg,12578,874.5,110.0
