AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,49.2,2.0
06531002,Biebertal,10048,29.9,3.0
06531003,Buseck,12879,54.4,7.0
06531004,Fernwald,6911,86.8,6.0
06531005,Gießen,89802,122.5,110.0
06531006,Grünberg,13612,286.5,39.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,111.1,14.0
06531009,Langgöns,11690,25.7,3.0
06531010,Laubach,9598,145.9,14.0
06531011,Lich,13795,297.2,41.0
06531012,Linden,13091,137.5,18.0
06531013,Lollar,10309,155.2,16.0
06531014,Pohlheim,18138,132.3,24.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,97.6,10.0
06531017,Staufenberg,8471,212.5,18.0
06531018,Wettenberg,12578,39.8,5.0
