AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,73.8,3.0
06531002,Biebertal,10048,149.3,15.0
06531003,Buseck,12879,85.4,11.0
06531004,Fernwald,6911,101.3,7.0
06531005,Gießen,89802,95.8,86.0
06531006,Grünberg,13612,191.0,26.0
06531007,Heuchelheim,7819,76.7,6.0
06531008,Hungen,12596,63.5,8.0
06531009,Langgöns,11690,42.8,5.0
06531010,Laubach,9598,72.9,7.0
06531011,Lich,13795,65.2,9.0
06531012,Linden,13091,122.2,16.0
06531013,Lollar,10309,126.1,13.0
06531014,Pohlheim,18138,259.1,47.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,165.9,17.0
06531017,Staufenberg,8471,59.0,5.0
06531018,Wettenberg,12578,87.5,11.0
