AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,122.9,5.0
06531002,Biebertal,10048,159.2,16.0
06531003,Buseck,12879,240.7,31.0
06531004,Fernwald,6911,130.2,9.0
06531005,Gießen,89802,177.1,159.0
06531006,Grünberg,13612,279.2,38.0
06531007,Heuchelheim,7819,179.1,14.0
06531008,Hungen,12596,142.9,18.0
06531009,Langgöns,11690,316.5,37.0
06531010,Laubach,9598,364.7,35.0
06531011,Lich,13795,224.7,31.0
06531012,Linden,13091,221.5,29.0
06531013,Lollar,10309,145.5,15.0
06531014,Pohlheim,18138,281.2,51.0
06531015,Rabenau,5036,99.3,5.0
06531016,Reiskirchen,10248,253.7,26.0
06531017,Staufenberg,8471,177.1,15.0
06531018,Wettenberg,12578,341.9,43.0
