AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,1672.0,68.0
06531002,Biebertal,10048,786.2,79.0
06531003,Buseck,12879,1118.1,144.0
06531004,Fernwald,6911,1519.3,105.0
06531005,Gießen,89802,1704.9,1531.0
06531006,Grünberg,13612,661.2,90.0
06531007,Heuchelheim,7819,1035.9,81.0
06531008,Hungen,12596,555.7,70.0
06531009,Langgöns,11690,564.6,66.0
06531010,Laubach,9598,677.2,65.0
06531011,Lich,13795,891.6,123.0
06531012,Linden,13091,1046.5,137.0
06531013,Lollar,10309,1610.2,166.0
06531014,Pohlheim,18138,1185.4,215.0
06531015,Rabenau,5036,834.0,42.0
06531016,Reiskirchen,10248,927.0,95.0
06531017,Staufenberg,8471,1404.8,119.0
06531018,Wettenberg,12578,1041.5,131.0
