AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,122.9,5.0
06531002,Biebertal,10048,79.6,8.0
06531003,Buseck,12879,108.7,14.0
06531004,Fernwald,6911,86.8,6.0
06531005,Gießen,89802,133.6,120.0
06531006,Grünberg,13612,117.5,16.0
06531007,Heuchelheim,7819,115.1,9.0
06531008,Hungen,12596,103.2,13.0
06531009,Langgöns,11690,393.5,46.0
06531010,Laubach,9598,93.8,9.0
06531011,Lich,13795,239.2,33.0
06531012,Linden,13091,76.4,10.0
06531013,Lollar,10309,126.1,13.0
06531014,Pohlheim,18138,380.4,69.0
06531015,Rabenau,5036,19.9,1.0
06531016,Reiskirchen,10248,117.1,12.0
06531017,Staufenberg,8471,141.7,12.0
06531018,Wettenberg,12578,95.4,12.0
