AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,221.3,9.0
06531002,Biebertal,10048,189.1,19.0
06531003,Buseck,12879,364.9,47.0
06531004,Fernwald,6911,492.0,34.0
06531005,Gießen,89802,482.2,433.0
06531006,Grünberg,13612,154.3,21.0
06531007,Heuchelheim,7819,370.9,29.0
06531008,Hungen,12596,277.9,35.0
06531009,Langgöns,11690,342.2,40.0
06531010,Laubach,9598,125.0,12.0
06531011,Lich,13795,174.0,24.0
06531012,Linden,13091,320.8,42.0
06531013,Lollar,10309,358.9,37.0
06531014,Pohlheim,18138,430.0,78.0
06531015,Rabenau,5036,178.7,9.0
06531016,Reiskirchen,10248,165.9,17.0
06531017,Staufenberg,8471,165.3,14.0
06531018,Wettenberg,12578,246.5,31.0
