AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,196.7,8.0
06531002,Biebertal,10048,318.5,32.0
06531003,Buseck,12879,458.1,59.0
06531004,Fernwald,6911,593.3,41.0
06531005,Gießen,89802,631.4,567.0
06531006,Grünberg,13612,220.4,30.0
06531007,Heuchelheim,7819,498.8,39.0
06531008,Hungen,12596,293.7,37.0
06531009,Langgöns,11690,436.3,51.0
06531010,Laubach,9598,187.5,18.0
06531011,Lich,13795,210.2,29.0
06531012,Linden,13091,443.1,58.0
06531013,Lollar,10309,465.6,48.0
06531014,Pohlheim,18138,523.8,95.0
06531015,Rabenau,5036,357.4,18.0
06531016,Reiskirchen,10248,244.0,25.0
06531017,Staufenberg,8471,306.9,26.0
06531018,Wettenberg,12578,389.6,49.0
