AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,49.2,2.0
06531002,Biebertal,10048,29.9,3.0
06531003,Buseck,12879,54.4,7.0
06531004,Fernwald,6911,159.2,11.0
06531005,Gießen,89802,130.3,117.0
06531006,Grünberg,13612,154.3,21.0
06531007,Heuchelheim,7819,63.9,5.0
06531008,Hungen,12596,103.2,13.0
06531009,Langgöns,11690,34.2,4.0
06531010,Laubach,9598,104.2,10.0
06531011,Lich,13795,224.7,31.0
06531012,Linden,13091,145.1,19.0
06531013,Lollar,10309,155.2,16.0
06531014,Pohlheim,18138,154.4,28.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,97.6,10.0
06531017,Staufenberg,8471,236.1,20.0
06531018,Wettenberg,12578,55.1,7.0
