AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,1475.3,60.0
06531002,Biebertal,10048,766.3,77.0
06531003,Buseck,12879,1188.0,153.0
06531004,Fernwald,6911,1447.0,100.0
06531005,Gießen,89802,1723.8,1548.0
06531006,Grünberg,13612,661.2,90.0
06531007,Heuchelheim,7819,1087.1,85.0
06531008,Hungen,12596,643.1,81.0
06531009,Langgöns,11690,538.9,63.0
06531010,Laubach,9598,843.9,81.0
06531011,Lich,13795,993.1,137.0
06531012,Linden,13091,1100.0,144.0
06531013,Lollar,10309,1833.3,189.0
06531014,Pohlheim,18138,1356.3,246.0
06531015,Rabenau,5036,893.6,45.0
06531016,Reiskirchen,10248,946.5,97.0
06531017,Staufenberg,8471,1487.4,126.0
06531018,Wettenberg,12578,1073.3,135.0
