,07_05_2021
Altenbeken,375
Bad Lippspringe,657
Bad Wünnenberg,523
Borchen,433
Büren,577
Delbrück,1268
Hövelhof,647
Lichtenau,257
Paderborn,5117
Salzkotten,736
