,10_13_2021,vortag,vorwoche,neu
Altenbeken,442,442,440,0
Bad Lippspringe,810,810,805,0
Bad Wünnenberg,613,612,609,1
Borchen,478,478,476,0
Büren,678,677,677,1
Delbrück,1570,1568,1550,2
Hövelhof,793,793,788,0
Lichtenau,314,312,310,2
Paderborn,6297,6286,6243,11
Salzkotten,963,962,949,1
