,11_10_2021,vortag,vorwoche,neu
Altenbeken,479,475,465,4
Bad Lippspringe,860,856,846,4
Bad Wünnenberg,632,630,621,2
Borchen,506,499,490,7
Büren,734,732,725,2
Delbrück,1707,1698,1657,9
Hövelhof,844,840,816,4
Lichtenau,342,334,322,8
Paderborn,6835,6786,6587,49
Salzkotten,1041,1032,994,9
