,11_30_2021,vortag,vorwoche,neu
Altenbeken,555,543,521,12
Bad Lippspringe,1015,998,946,17
Bad Wünnenberg,711,696,671,15
Borchen,703,680,620,23
Büren,831,816,771,15
Delbrück,1983,1951,1850,32
Hövelhof,994,981,921,13
Lichtenau,470,455,411,15
Paderborn,8204,8051,7649,153
Salzkotten,1326,1293,1221,33
