,09_16_2021,vortag,vorwoche,neu
Altenbeken,426,422,413,4
Bad Lippspringe,780,780,772,0
Bad Wünnenberg,592,591,578,1
Borchen,466,464,458,2
Büren,668,664,652,4
Delbrück,1507,1500,1476,7
Hövelhof,751,748,720,3
Lichtenau,301,301,292,0
Paderborn,6079,6062,5951,17
Salzkotten,905,902,881,3
