,last7,last14,mix,Gemeinde
Altenbeken,17,29,17.0,Altenbeken
Bad Lippspringe,21,33,21.0,Bad Lippspringe
Bad Wünnenberg,9,17,9.0,Bad Wünnenberg
Borchen,21,27,21.0,Borchen
Büren,8,34,8.0,Büren
Delbrück,50,87,50.0,Delbrück
Hövelhof,30,41,30.0,Hövelhof
Lichtenau,17,26,17.0,Lichtenau
Paderborn,291,423,291.0,Paderborn
Salzkotten,68,84,68.0,Salzkotten
