,11_14_2021,vortag,vorwoche,neu
Altenbeken,485,483,468,2
Bad Lippspringe,875,870,852,5
Bad Wünnenberg,635,632,628,3
Borchen,520,514,494,6
Büren,738,736,730,2
Delbrück,1724,1718,1684,6
Hövelhof,859,850,826,9
Lichtenau,348,345,329,3
Paderborn,6983,6913,6669,70
Salzkotten,1084,1068,1011,16
