,10_19_2021,vortag,vorwoche,neu
Altenbeken,446,446,442,0
Bad Lippspringe,824,823,810,1
Bad Wünnenberg,616,616,612,0
Borchen,478,478,478,0
Büren,679,678,677,1
Delbrück,1591,1589,1568,2
Hövelhof,798,798,793,0
Lichtenau,319,319,312,0
Paderborn,6335,6329,6286,6
Salzkotten,967,968,962,-1
