,07_18_2021,vortag,vorwoche,neu
Altenbeken,376,376,375,0
Bad Lippspringe,660,660,660,0
Bad Wünnenberg,524,524,523,0
Borchen,435,435,433,0
Büren,587,586,580,1
Delbrück,1271,1270,1268,1
Hövelhof,649,649,649,0
Lichtenau,257,257,257,0
Paderborn,5127,5125,5119,2
Salzkotten,743,743,741,0
