,08_21_2021,vortag,vorwoche,neu
Altenbeken,388,388,386,0
Bad Lippspringe,704,698,682,6
Bad Wünnenberg,558,554,549,4
Borchen,445,443,442,2
Büren,625,625,615,0
Delbrück,1346,1343,1314,3
Hövelhof,680,674,664,6
Lichtenau,262,262,262,0
Paderborn,5493,5466,5343,27
Salzkotten,791,787,767,4
