,08_17_2021,vortag,vorwoche,neu
Altenbeken,387,387,384,0
Bad Lippspringe,691,689,672,2
Bad Wünnenberg,550,550,546,0
Borchen,441,441,441,0
Büren,623,622,609,1
Delbrück,1323,1321,1300,2
Hövelhof,669,668,662,1
Lichtenau,262,262,259,0
Paderborn,5411,5393,5287,18
Salzkotten,777,774,764,3
