,11_09_2021,vortag,vorwoche,neu
Altenbeken,475,474,465,1
Bad Lippspringe,856,854,845,2
Bad Wünnenberg,630,628,621,2
Borchen,499,498,490,1
Büren,732,731,720,1
Delbrück,1698,1696,1654,2
Hövelhof,840,835,812,5
Lichtenau,334,330,321,4
Paderborn,6786,6749,6566,37
Salzkotten,1032,1025,992,7
