,08_02_2021,vortag,vorwoche,neu
Altenbeken,383,383,382,0
Bad Lippspringe,665,665,662,0
Bad Wünnenberg,531,529,530,2
Borchen,439,438,436,1
Büren,600,599,592,1
Delbrück,1285,1284,1276,1
Hövelhof,654,653,651,1
Lichtenau,260,260,258,0
Paderborn,5196,5190,5153,6
Salzkotten,757,757,751,0
