,09_06_2021,vortag,vorwoche,neu
Altenbeken,403,397,394,6
Bad Lippspringe,756,746,729,10
Bad Wünnenberg,573,570,565,3
Borchen,456,455,451,1
Büren,642,638,631,4
Delbrück,1457,1436,1384,21
Hövelhof,702,700,690,2
Lichtenau,285,282,274,3
Paderborn,5877,5845,5723,32
Salzkotten,869,858,818,11
