,09_30_2021,vortag,vorwoche,neu
Altenbeken,441,441,440,0
Bad Lippspringe,801,799,792,2
Bad Wünnenberg,601,600,595,1
Borchen,473,473,470,0
Büren,677,677,673,0
Delbrück,1541,1535,1529,6
Hövelhof,783,783,768,0
Lichtenau,307,307,306,0
Paderborn,6231,6220,6149,11
Salzkotten,942,933,920,9
