,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
(gesamter Kreis),10259,0,05_25_2021
Bad Lippspringe,639,0,05_25_2021
Salzkotten,693,0,05_25_2021
Delbrück,1245,0,05_25_2021
Lichtenau,234,0,05_25_2021
Paderborn,4951,0,05_25_2021
Bad Wünnenberg,500,0,05_25_2021
Büren,560,0,05_25_2021
Altenbeken,373,0,05_25_2021
Hövelhof,643,0,05_25_2021
Borchen,421,0,05_25_2021
(nicht zuordnebar),0,0,05_25_2021
(nicht zuordnebar),0,0,05_26_2021
Altenbeken,373,0,05_26_2021
Delbrück,1245,0,05_26_2021
Borchen,421,0,05_26_2021
Bad Wünnenberg,500,0,05_26_2021
Salzkotten,695,2,05_26_2021
Hövelhof,643,0,05_26_2021
Bad Lippspringe,639,0,05_26_2021
Büren,560,0,05_26_2021
Lichtenau,234,0,05_26_2021
Paderborn,4950,-1,05_26_2021
(gesamter Kreis),10260,1,05_26_2021
(nicht zuordnebar),0,0,05_27_2021
Bad Wünnenberg,500,0,05_27_2021
Borchen,422,1,05_27_2021
Salzkotten,698,3,05_27_2021
Lichtenau,235,1,05_27_2021
Büren,561,1,05_27_2021
Bad Lippspringe,644,5,05_27_2021
Delbrück,1248,3,05_27_2021
Paderborn,4960,10,05_27_2021
Hövelhof,645,2,05_27_2021
Altenbeken,374,1,05_27_2021
(gesamter Kreis),10287,27,05_27_2021
(nicht zuordnebar),0,0,05_28_2021
Salzkotten,699,1,05_28_2021
Hövelhof,645,0,05_28_2021
Bad Lippspringe,644,0,05_28_2021
Delbrück,1251,3,05_28_2021
Bad Wünnenberg,502,2,05_28_2021
Paderborn,4971,11,05_28_2021
Borchen,423,1,05_28_2021
Lichtenau,236,1,05_28_2021
Büren,561,0,05_28_2021
Altenbeken,374,0,05_28_2021
(gesamter Kreis),10306,19,05_28_2021
(nicht zuordnebar),0,0,05_29_2021
Borchen,425,2,05_29_2021
Büren,562,1,05_29_2021
Hövelhof,646,1,05_29_2021
Bad Wünnenberg,506,4,05_29_2021
Paderborn,4977,6,05_29_2021
Salzkotten,701,2,05_29_2021
Lichtenau,236,0,05_29_2021
Altenbeken,374,0,05_29_2021
Delbrück,1254,3,05_29_2021
Bad Lippspringe,644,0,05_29_2021
(gesamter Kreis),10325,19,05_29_2021
Lichtenau,236,0,05_30_2021
Paderborn,4977,0,05_30_2021
Altenbeken,374,0,05_30_2021
Salzkotten,701,0,05_30_2021
Delbrück,1254,0,05_30_2021
Büren,562,0,05_30_2021
Bad Lippspringe,644,0,05_30_2021
Borchen,425,0,05_30_2021
Hövelhof,646,0,05_30_2021
(gesamter Kreis),10325,0,05_30_2021
(nicht zuordnebar),0,0,05_30_2021
Bad Wünnenberg,506,0,05_30_2021
Salzkotten,702,1,05_31_2021
(gesamter Kreis),10345,20,05_31_2021
(nicht zuordnebar),0,0,05_31_2021
Bad Wünnenberg,506,0,05_31_2021
Lichtenau,237,1,05_31_2021
Büren,564,2,05_31_2021
Paderborn,4991,14,05_31_2021
Delbrück,1255,1,05_31_2021
Altenbeken,374,0,05_31_2021
Hövelhof,646,0,05_31_2021
Borchen,425,0,05_31_2021
Bad Lippspringe,645,1,05_31_2021
Salzkotten,703,1,06_01_2021
(gesamter Kreis),10365,20,06_01_2021
(nicht zuordnebar),0,0,06_01_2021
Bad Lippspringe,645,0,06_01_2021
Delbrück,1256,1,06_01_2021
Borchen,426,1,06_01_2021
Altenbeken,374,0,06_01_2021
Paderborn,5008,17,06_01_2021
Lichtenau,237,0,06_01_2021
Hövelhof,646,0,06_01_2021
Büren,564,0,06_01_2021
Bad Wünnenberg,506,0,06_01_2021
Delbrück,1258,2,06_02_2021
(gesamter Kreis),10389,24,06_02_2021
(nicht zuordnebar),0,0,06_02_2021
Büren,567,3,06_02_2021
Bad Lippspringe,646,1,06_02_2021
Borchen,427,1,06_02_2021
Hövelhof,646,0,06_02_2021
Altenbeken,374,0,06_02_2021
Bad Wünnenberg,509,3,06_02_2021
Lichtenau,240,3,06_02_2021
Salzkotten,703,0,06_02_2021
Paderborn,5019,11,06_02_2021
Salzkotten,703,0,06_03_2021
Bad Lippspringe,646,0,06_03_2021
Lichtenau,240,0,06_03_2021
Bad Wünnenberg,509,0,06_03_2021
Borchen,427,0,06_03_2021
Hövelhof,646,0,06_03_2021
(gesamter Kreis),10389,0,06_03_2021
(nicht zuordnebar),0,0,06_03_2021
Paderborn,5019,0,06_03_2021
Büren,567,0,06_03_2021
Delbrück,1258,0,06_03_2021
Altenbeken,374,0,06_03_2021
(nicht zuordnebar),0,0,06_04_2021
Hövelhof,646,0,06_04_2021
Borchen,426,-1,06_04_2021
Bad Wünnenberg,510,1,06_04_2021
Paderborn,5040,21,06_04_2021
Salzkotten,704,1,06_04_2021
Büren,567,0,06_04_2021
Delbrück,1261,3,06_04_2021
Lichtenau,242,2,06_04_2021
Altenbeken,374,0,06_04_2021
Bad Lippspringe,646,0,06_04_2021
(gesamter Kreis),10416,27,06_04_2021
(nicht zuordnebar),0,0,06_05_2021
Salzkotten,705,1,06_05_2021
Büren,567,0,06_05_2021
Paderborn,5057,17,06_05_2021
Hövelhof,646,0,06_05_2021
Lichtenau,244,2,06_05_2021
Borchen,428,2,06_05_2021
Delbrück,1263,2,06_05_2021
Bad Lippspringe,646,0,06_05_2021
Bad Wünnenberg,514,4,06_05_2021
Altenbeken,374,0,06_05_2021
(gesamter Kreis),10444,28,06_05_2021
(nicht zuordnebar),0,0,06_06_2021
Borchen,428,0,06_06_2021
Salzkotten,705,0,06_06_2021
Bad Wünnenberg,514,0,06_06_2021
Delbrück,1263,0,06_06_2021
Paderborn,5057,0,06_06_2021
Altenbeken,374,0,06_06_2021
Lichtenau,244,0,06_06_2021
Hövelhof,646,0,06_06_2021
Bad Lippspringe,646,0,06_06_2021
Büren,567,0,06_06_2021
(gesamter Kreis),10444,0,06_06_2021
(nicht zuordnebar),0,0,06_07_2021
Bad Lippspringe,646,0,06_07_2021
Büren,567,0,06_07_2021
Paderborn,5070,13,06_07_2021
Delbrück,1263,0,06_07_2021
Hövelhof,646,0,06_07_2021
Altenbeken,374,0,06_07_2021
Bad Wünnenberg,517,3,06_07_2021
Lichtenau,247,3,06_07_2021
Salzkotten,708,3,06_07_2021
Borchen,428,0,06_07_2021
(gesamter Kreis),10466,22,06_07_2021
(nicht zuordnebar),0,0,06_08_2021
Bad Wünnenberg,517,0,06_08_2021
Paderborn,5068,-2,06_08_2021
Büren,568,1,06_08_2021
Salzkotten,709,1,06_08_2021
Borchen,428,0,06_08_2021
Bad Lippspringe,646,0,06_08_2021
Lichtenau,248,1,06_08_2021
Hövelhof,645,-1,06_08_2021
Delbrück,1262,-1,06_08_2021
Altenbeken,374,0,06_08_2021
(gesamter Kreis),10465,-1,06_08_2021
(nicht zuordnebar),0,0,06_09_2021
Bad Wünnenberg,518,1,06_09_2021
Altenbeken,374,0,06_09_2021
Lichtenau,250,2,06_09_2021
Delbrück,1263,1,06_09_2021
Paderborn,5074,6,06_09_2021
Büren,569,1,06_09_2021
Salzkotten,711,2,06_09_2021
Hövelhof,645,0,06_09_2021
Bad Lippspringe,650,4,06_09_2021
Borchen,428,0,06_09_2021
(gesamter Kreis),10482,17,06_09_2021
(nicht zuordnebar),0,0,06_10_2021
Bad Lippspringe,651,1,06_10_2021
Büren,569,0,06_10_2021
Delbrück,1263,0,06_10_2021
Hövelhof,645,0,06_10_2021
Lichtenau,250,0,06_10_2021
Salzkotten,712,1,06_10_2021
Borchen,428,0,06_10_2021
Paderborn,5086,12,06_10_2021
Bad Wünnenberg,521,3,06_10_2021
Altenbeken,374,0,06_10_2021
(gesamter Kreis),10499,17,06_10_2021
(nicht zuordnebar),0,0,06_11_2021
(gesamter Kreis),10510,11,06_11_2021
Büren,570,1,06_11_2021
Borchen,430,2,06_11_2021
Bad Wünnenberg,521,0,06_11_2021
Hövelhof,645,0,06_11_2021
Salzkotten,714,2,06_11_2021
Delbrück,1265,2,06_11_2021
Paderborn,5088,2,06_11_2021
Bad Lippspringe,651,0,06_11_2021
Lichtenau,252,2,06_11_2021
Altenbeken,374,0,06_11_2021
