,11_08_2021,vortag,vorwoche,neu
Altenbeken,474,468,460,6
Bad Lippspringe,854,852,838,2
Bad Wünnenberg,628,628,618,0
Borchen,498,494,489,4
Büren,731,730,711,1
Delbrück,1696,1684,1639,12
Hövelhof,835,826,809,9
Lichtenau,330,329,320,1
Paderborn,6749,6669,6514,80
Salzkotten,1025,1011,989,14
