,10_26_2021,vortag,vorwoche,neu
Altenbeken,451,450,446,1
Bad Lippspringe,831,829,824,2
Bad Wünnenberg,615,614,616,1
Borchen,483,481,478,2
Büren,687,684,679,3
Delbrück,1617,1615,1591,2
Hövelhof,803,803,798,0
Lichtenau,320,318,319,2
Paderborn,6424,6404,6335,20
Salzkotten,976,975,967,1
