,09_15_2021,vortag,vorwoche,neu
Altenbeken,422,421,407,1
Bad Lippspringe,780,776,761,4
Bad Wünnenberg,591,591,573,0
Borchen,464,464,458,0
Büren,664,659,649,5
Delbrück,1500,1492,1468,8
Hövelhof,748,739,713,9
Lichtenau,301,297,290,4
Paderborn,6062,6035,5925,27
Salzkotten,902,896,870,6
