,07_27_2021,vortag,vorwoche,neu
Altenbeken,383,382,379,1
Bad Lippspringe,662,662,660,0
Bad Wünnenberg,530,530,526,0
Borchen,436,436,436,0
Büren,594,592,588,2
Delbrück,1278,1276,1274,2
Hövelhof,651,651,649,0
Lichtenau,258,258,257,0
Paderborn,5166,5153,5130,13
Salzkotten,753,751,750,2
