,12_08_2021,vortag,vorwoche,neu
Altenbeken,596,598,564,-2
Bad Lippspringe,1077,1069,1022,8
Bad Wünnenberg,741,739,715,2
Borchen,775,762,725,13
Büren,896,889,843,7
Delbrück,2166,2144,2008,22
Hövelhof,1063,1060,1003,3
Lichtenau,541,530,475,11
Paderborn,8835,8752,8289,83
Salzkotten,1444,1427,1341,17
