,07_23_2021,vortag,vorwoche,neu
Altenbeken,382,381,376,1
Bad Lippspringe,662,661,660,1
Bad Wünnenberg,530,530,524,0
Borchen,436,436,435,0
Büren,591,590,587,1
Delbrück,1275,1275,1271,0
Hövelhof,650,650,649,0
Lichtenau,258,258,257,0
Paderborn,5147,5142,5127,5
Salzkotten,751,751,743,0
