,10_06_2021,vortag,vorwoche,neu
Altenbeken,440,440,441,0
Bad Lippspringe,805,804,799,1
Bad Wünnenberg,609,608,600,1
Borchen,476,474,473,2
Büren,677,678,677,-1
Delbrück,1550,1545,1535,5
Hövelhof,788,787,783,1
Lichtenau,310,308,307,2
Paderborn,6243,6239,6220,4
Salzkotten,949,946,933,3
