,11_16_2021,vortag,vorwoche,neu
Altenbeken,493,491,475,2
Bad Lippspringe,893,887,856,6
Bad Wünnenberg,645,641,630,4
Borchen,547,537,499,10
Büren,744,744,732,0
Delbrück,1754,1746,1698,8
Hövelhof,873,868,840,5
Lichtenau,355,355,334,0
Paderborn,7168,7104,6786,64
Salzkotten,1121,1113,1032,8
