,08_31_2021,vortag,vorwoche,neu
Altenbeken,394,394,388,0
Bad Lippspringe,730,729,714,1
Bad Wünnenberg,565,565,561,0
Borchen,452,451,446,1
Büren,632,631,625,1
Delbrück,1394,1384,1349,10
Hövelhof,690,690,683,0
Lichtenau,274,274,263,0
Paderborn,5734,5723,5570,11
Salzkotten,824,818,798,6
