,10_14_2021,vortag,vorwoche,neu
Altenbeken,446,442,440,4
Bad Lippspringe,814,810,806,4
Bad Wünnenberg,613,613,611,0
Borchen,478,478,477,0
Büren,677,678,677,-1
Delbrück,1576,1570,1553,6
Hövelhof,796,793,791,3
Lichtenau,316,314,311,2
Paderborn,6302,6297,6255,5
Salzkotten,964,963,955,1
