,07_29_2021,vortag,vorwoche,neu
Altenbeken,383,383,381,0
Bad Lippspringe,665,663,661,2
Bad Wünnenberg,530,530,530,0
Borchen,437,437,436,0
Büren,598,598,590,0
Delbrück,1283,1278,1275,5
Hövelhof,651,651,650,0
Lichtenau,258,258,258,0
Paderborn,5183,5174,5142,9
Salzkotten,756,754,751,2
