,08_03_2021,vortag,vorwoche,neu
Altenbeken,384,383,383,1
Bad Lippspringe,666,665,662,1
Bad Wünnenberg,540,531,530,9
Borchen,439,439,436,0
Büren,606,600,594,6
Delbrück,1289,1285,1278,4
Hövelhof,655,654,651,1
Lichtenau,260,260,258,0
Paderborn,5224,5196,5166,28
Salzkotten,757,757,753,0
