,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
Borchen,432,0,07_04_2021
(gesamter Kreis),10588,0,07_04_2021
(nicht zuordnebar),0,0,07_04_2021
Paderborn,5117,0,07_04_2021
Büren,577,0,07_04_2021
Lichtenau,256,0,07_04_2021
Delbrück,1268,0,07_04_2021
Salzkotten,736,0,07_04_2021
Hövelhof,647,0,07_04_2021
Bad Lippspringe,657,0,07_04_2021
(nicht zuordnebar),0,0,07_05_2021
Hövelhof,647,0,07_05_2021
Büren,577,0,07_05_2021
Borchen,433,1,07_05_2021
Delbrück,1268,0,07_05_2021
Salzkotten,736,0,07_05_2021
Paderborn,5117,0,07_05_2021
Altenbeken,375,0,07_05_2021
Lichtenau,257,1,07_05_2021
Bad Wünnenberg,523,0,07_05_2021
Bad Lippspringe,657,0,07_05_2021
(gesamter Kreis),10590,2,07_05_2021
(nicht zuordnebar),0,0,07_06_2021
Altenbeken,375,0,07_06_2021
Salzkotten,738,2,07_06_2021
Lichtenau,257,0,07_06_2021
Delbrück,1268,0,07_06_2021
Büren,588,11,07_06_2021
Paderborn,5119,2,07_06_2021
Bad Wünnenberg,525,2,07_06_2021
Hövelhof,649,2,07_06_2021
Bad Lippspringe,657,0,07_06_2021
Borchen,433,0,07_06_2021
(gesamter Kreis),10609,19,07_06_2021
(nicht zuordnebar),0,0,07_07_2021
Lichtenau,257,0,07_07_2021
Büren,580,-8,07_07_2021
Borchen,433,0,07_07_2021
Salzkotten,739,1,07_07_2021
Altenbeken,375,0,07_07_2021
Bad Lippspringe,657,0,07_07_2021
Bad Wünnenberg,523,-2,07_07_2021
Hövelhof,649,0,07_07_2021
Paderborn,5117,-2,07_07_2021
Delbrück,1268,0,07_07_2021
(gesamter Kreis),10598,-11,07_07_2021
(nicht zuordnebar),0,0,07_08_2021
Büren,580,0,07_08_2021
Salzkotten,741,2,07_08_2021
Altenbeken,375,0,07_08_2021
Bad Lippspringe,660,3,07_08_2021
Borchen,433,0,07_08_2021
Delbrück,1268,0,07_08_2021
Lichtenau,257,0,07_08_2021
Hövelhof,649,0,07_08_2021
