,09_21_2021,vortag,vorwoche,neu
Altenbeken,435,434,421,1
Bad Lippspringe,788,786,776,2
Bad Wünnenberg,595,595,591,0
Borchen,467,467,464,0
Büren,670,670,659,0
Delbrück,1522,1519,1492,3
Hövelhof,759,757,739,2
Lichtenau,304,304,297,0
Paderborn,6131,6124,6035,7
Salzkotten,911,910,896,1
