,06_30_2021
Altenbeken,375
Bad Lippspringe,657
Bad Wünnenberg,523
Borchen,432
Büren,577
Delbrück,1268
Hövelhof,647
Lichtenau,256
Paderborn,5114
Salzkotten,733
