,08_10_2021,vortag,vorwoche,neu
Altenbeken,384,384,384,0
Bad Lippspringe,672,671,666,1
Bad Wünnenberg,546,547,540,-1
Borchen,441,441,439,0
Büren,609,608,606,1
Delbrück,1300,1298,1289,2
Hövelhof,662,661,655,1
Lichtenau,259,259,260,0
Paderborn,5287,5284,5224,3
Salzkotten,764,763,757,1
